it.	N	N_h	N_v
0	225	112	113
1	235	118	117
2	253	127	126
3	258	135	123
4	268	138	130
5	265	139	126
6	257	124	133
7	261	128	133
8	267	128	139
9	283	133	150
10	284	138	146
11	268	126	142
12	265	133	132
13	266	135	131
14	262	133	129
15	269	138	131
16	269	141	128
17	265	136	129
18	264	131	133
19	277	138	139
20	271	133	138
21	281	129	152
22	277	129	148
23	278	127	151
24	274	125	149
25	281	129	152
26	275	131	144
27	281	134	147
28	282	136	146
29	278	137	141
30	268	132	136
31	275	134	141
32	273	140	133
33	277	140	137
34	281	145	136
35	284	142	142
36	281	143	138
37	274	136	138
38	273	135	138
39	288	146	142
40	293	146	147
41	288	140	148
42	292	141	151
43	297	149	148
44	289	142	147
45	283	141	142
46	285	147	138
47	277	142	135
48	291	148	143
49	289	143	146
50	288	146	142
51	288	147	141
52	285	146	139
53	274	140	134
54	266	130	136
55	277	133	144
56	267	125	142
57	261	120	141
58	265	119	146
59	269	122	147
60	273	120	153
61	263	112	151
62	264	114	150
63	268	119	149
64	270	123	147
65	280	133	147
66	282	137	145
67	268	130	138
68	277	129	148
69	288	142	146
70	287	140	147
71	285	139	146
72	276	136	140
73	269	135	134
74	278	136	142
75	280	135	145
76	287	136	151
77	282	132	150
78	286	141	145
79	291	144	147
80	286	139	147
81	288	143	145
82	283	143	140
83	291	154	137
84	292	154	138
85	293	153	140
86	290	156	134
87	294	158	136
88	287	157	130
89	286	158	128
90	291	157	134
91	283	152	131
92	279	148	131
93	276	142	134
94	274	141	133
95	280	144	136
96	273	143	130
97	279	153	126
98	277	149	128
99	287	159	128
100	274	150	124
101	271	152	119
102	269	147	122
103	282	154	128
104	289	161	128
105	283	159	124
106	285	156	129
107	284	155	129
108	284	155	129
109	300	169	131
110	297	162	135
111	295	164	131
112	288	163	125
113	291	165	126
114	293	166	127
115	285	163	122
116	277	161	116
117	281	163	118
118	298	180	118
119	298	177	121
120	298	172	126
121	294	164	130
122	280	165	115
123	290	173	117
124	278	166	112
125	281	174	107
126	271	165	106
127	280	170	110
128	285	174	111
129	292	178	114
130	282	174	108
131	283	173	110
132	282	172	110
133	277	176	101
134	286	180	106
135	285	179	106
136	291	181	110
137	276	168	108
138	280	169	111
139	285	171	114
140	283	173	110
141	288	176	112
142	295	182	113
143	288	181	107
144	274	172	102
145	286	179	107
146	291	190	101
147	298	193	105
148	300	190	110
149	289	182	107
150	288	183	105
151	288	183	105
152	280	185	95
153	290	186	104
154	298	187	111
155	293	182	111
156	291	179	112
157	282	181	101
158	276	174	102
159	285	181	104
160	289	181	108
161	295	188	107
162	295	188	107
163	289	184	105
164	294	185	109
165	288	181	107
166	293	187	106
167	289	184	105
168	296	187	109
169	282	175	107
170	287	183	104
171	289	181	108
172	297	184	113
173	288	181	107
174	289	188	101
175	281	177	104
176	286	181	105
177	280	176	104
178	278	176	102
179	277	168	109
180	282	176	106
181	288	184	104
182	287	186	101
183	278	178	100
184	266	173	93
185	278	175	103
186	264	162	102
187	283	176	107
188	278	175	103
189	282	174	108
190	281	181	100
191	283	190	93
192	289	192	97
193	287	191	96
194	283	188	95
195	287	186	101
196	282	187	95
197	279	177	102
198	274	173	101
199	285	184	101
200	299	189	110
201	299	191	108
202	291	182	109
203	281	177	104
204	286	182	104
205	289	182	107
206	286	180	106
207	286	182	104
208	283	176	107
209	288	182	106
210	294	184	110
211	277	178	99
212	278	178	100
213	282	181	101
214	279	179	100
215	285	186	99
216	297	192	105
217	291	187	104
218	295	187	108
219	289	185	104
220	288	184	104
221	284	183	101
222	284	184	100
223	287	191	96
224	283	184	99
225	282	186	96
226	272	177	95
227	285	185	100
228	289	189	100
229	280	186	94
230	281	182	99
231	288	187	101
232	287	187	100
233	281	185	96
234	279	187	92
235	286	188	98
236	282	184	98
237	287	188	99
238	291	196	95
239	277	181	96
240	287	188	99
241	288	184	104
242	292	192	100
243	289	192	97
244	290	192	98
245	294	191	103
246	295	185	110
247	307	193	114
248	304	188	116
249	296	183	113
250	285	177	108
251	280	176	104
252	294	180	114
253	285	175	110
254	284	176	108
255	293	183	110
256	289	185	104
257	300	196	104
258	294	188	106
259	294	188	106
260	296	189	107
261	297	187	110
262	292	182	110
263	298	184	114
264	293	187	106
265	296	190	106
266	293	184	109
267	285	182	103
268	283	183	100
269	297	187	110
270	293	190	103
271	290	189	101
272	295	197	98
273	290	190	100
274	292	187	105
275	279	174	105
276	286	175	111
277	276	170	106
278	283	175	108
279	280	172	108
280	272	166	106
281	275	168	107
282	274	168	106
283	281	164	117
284	287	176	111
285	282	176	106
286	289	183	106
287	283	182	101
288	287	182	105
289	289	179	110
290	290	178	112
291	291	177	114
292	296	178	118
293	294	183	111
294	299	185	114
295	291	178	113
296	291	176	115
297	289	178	111
298	280	174	106
299	282	176	106
300	285	180	105
301	298	191	107
302	288	183	105
303	285	175	110
304	288	174	114
305	277	167	110
306	289	178	111
307	292	181	111
308	291	184	107
309	286	182	104
310	291	182	109
311	281	180	101
312	282	181	101
313	283	179	104
314	286	178	108
315	283	172	111
316	298	183	115
317	289	180	109
318	283	180	103
319	274	171	103
320	271	171	100
321	282	180	102
322	283	182	101
323	278	176	102
324	279	177	102
325	281	178	103
326	280	181	99
327	282	187	95
328	292	193	99
329	301	199	102
330	299	197	102
331	295	197	98
332	303	201	102
333	308	203	105
334	290	189	101
335	286	185	101
336	290	193	97
337	286	186	100
338	290	187	103
339	293	196	97
340	291	196	95
341	288	197	91
342	285	196	89
343	294	201	93
344	298	203	95
345	285	191	94
346	284	190	94
347	284	185	99
348	280	185	95
349	291	191	100
350	284	182	102
351	286	185	101
352	283	187	96
353	284	186	98
354	289	187	102
355	285	189	96
356	277	189	88
357	278	188	90
358	285	192	93
359	277	184	93
360	282	190	92
361	280	194	86
362	279	193	86
363	282	195	87
364	265	179	86
365	274	186	88
366	279	182	97
367	288	188	100
368	282	180	102
369	275	174	101
370	270	171	99
371	274	173	101
372	273	170	103
373	275	175	100
374	281	184	97
375	284	181	103
376	279	178	101
377	284	177	107
378	280	174	106
379	280	178	102
380	290	183	107
381	287	181	106
382	296	188	108
383	290	189	101
384	280	181	99
385	282	175	107
386	284	176	108
387	285	176	109
388	288	171	117
389	288	176	112
390	290	176	114
391	291	176	115
392	292	182	110
393	291	185	106
394	294	186	108
395	286	182	104
396	278	180	98
397	287	186	101
398	303	198	105
399	300	197	103
400	291	186	105
401	289	179	110
402	279	173	106
403	278	174	104
404	284	173	111
405	285	176	109
406	291	181	110
407	304	191	113
408	301	188	113
409	303	196	107
410	289	189	100
411	280	180	100
412	279	179	100
413	283	185	98
414	279	182	97
415	293	194	99
416	295	192	103
417	281	184	97
418	285	183	102
419	289	181	108
420	282	182	100
421	284	179	105
422	278	178	100
423	278	176	102
424	284	180	104
425	286	179	107
426	288	182	106
427	284	177	107
428	281	176	105
429	277	175	102
430	292	190	102
431	288	185	103
432	295	191	104
433	288	190	98
434	289	186	103
435	287	191	96
436	281	178	103
437	286	180	106
438	284	180	104
439	283	180	103
440	290	190	100
441	286	189	97
442	289	188	101
443	281	186	95
444	275	183	92
445	278	180	98
446	279	176	103
447	280	174	106
448	268	173	95
449	288	188	100
450	282	180	102
451	282	178	104
452	282	185	97
453	290	190	100
454	292	194	98
455	284	184	100
456	279	185	94
457	289	192	97
458	290	192	98
459	281	193	88
460	287	198	89
461	286	192	94
462	281	187	94
463	276	181	95
464	283	183	100
465	276	174	102
466	278	179	99
467	289	186	103
468	282	178	104
469	283	180	103
470	289	186	103
471	290	178	112
472	286	175	111
473	281	177	104
474	291	186	105
475	290	184	106
476	293	183	110
477	292	185	107
478	294	185	109
479	287	186	101
480	299	197	102
481	276	184	92
482	283	191	92
483	280	190	90
484	286	198	88
485	282	195	87
486	280	193	87
487	273	186	87
488	271	185	86
489	277	191	86
490	275	186	89
491	283	192	91
492	285	191	94
493	280	186	94
494	282	184	98
495	283	188	95
496	288	194	94
497	296	200	96
498	287	194	93
499	291	193	98
500	281	188	93
501	291	194	97
502	295	197	98
503	295	200	95
504	284	197	87
505	288	201	87
506	282	198	84
507	289	207	82
508	298	213	85
509	281	203	78
510	277	198	79
511	281	196	85
512	287	198	89
513	287	200	87
514	277	194	83
515	281	204	77
516	279	196	83
517	273	191	82
518	275	193	82
519	285	198	87
520	279	194	85
521	280	194	86
522	267	185	82
523	267	185	82
524	272	191	81
525	267	191	76
526	280	204	76
527	284	208	76
528	288	202	86
529	294	207	87
530	288	206	82
531	288	207	81
532	291	206	85
533	289	201	88
534	297	209	88
535	295	212	83
536	295	210	85
537	287	200	87
538	285	201	84
539	280	198	82
540	287	206	81
541	277	199	78
542	289	204	85
543	295	213	82
544	295	218	77
545	299	218	81
546	294	214	80
547	293	213	80
548	293	211	82
549	284	207	77
550	285	205	80
551	270	196	74
552	279	198	81
553	284	205	79
554	281	205	76
555	270	194	76
556	279	194	85
557	295	208	87
558	300	212	88
559	291	205	86
560	295	213	82
561	285	207	78
562	280	205	75
563	289	207	82
564	288	207	81
565	291	205	86
566	292	206	86
567	296	206	90
568	284	200	84
569	282	203	79
570	280	199	81
571	289	204	85
572	284	201	83
573	279	195	84
574	290	200	90
575	292	199	93
576	285	194	91
577	285	194	91
578	284	196	88
579	295	203	92
580	289	199	90
581	287	192	95
582	284	195	89
583	281	197	84
584	274	187	87
585	272	184	88
586	272	188	84
587	270	190	80
588	273	188	85
589	287	195	92
590	296	200	96
591	293	199	94
592	288	197	91
593	293	206	87
594	292	204	88
595	284	196	88
596	288	199	89
597	280	193	87
598	284	194	90
599	288	200	88
600	282	193	89
601	281	192	89
602	287	199	88
603	276	193	83
604	276	190	86
605	288	197	91
606	281	189	92
607	276	188	88
608	276	189	87
609	286	194	92
610	294	203	91
611	298	207	91
612	292	204	88
613	285	191	94
614	282	181	101
615	281	182	99
616	277	183	94
617	287	186	101
618	289	192	97
619	287	192	95
620	281	189	92
621	278	185	93
622	271	187	84
623	279	196	83
624	281	193	88
625	279	190	89
626	274	185	89
627	282	187	95
628	270	181	89
629	269	178	91
630	277	186	91
631	285	190	95
632	283	185	98
633	292	199	93
634	307	202	105
635	305	200	105
636	296	189	107
637	296	183	113
638	296	187	109
639	293	191	102
640	292	191	101
641	287	185	102
642	299	195	104
643	289	184	105
644	283	184	99
