it.	N	N_h	N_v
0	199	91	108
1	223	95	128
2	234	103	131
3	243	106	137
4	250	110	140
5	261	117	144
6	267	118	149
7	266	114	152
8	269	118	151
9	270	118	152
10	277	118	159
11	287	125	162
12	281	118	163
13	283	116	167
14	279	119	160
15	293	128	165
16	292	128	164
17	297	134	163
18	296	129	167
19	305	134	171
20	305	134	171
21	292	125	167
22	297	121	176
23	295	122	173
24	287	125	162
25	286	124	162
26	280	118	162
27	276	118	158
28	276	113	163
29	283	118	165
30	277	119	158
31	273	115	158
32	281	118	163
33	297	119	178
34	294	121	173
35	282	113	169
36	293	118	175
37	293	120	173
38	280	116	164
39	283	110	173
40	282	109	173
41	282	107	175
42	275	108	167
43	275	110	165
44	276	113	163
45	275	106	169
46	275	108	167
47	282	111	171
48	270	103	167
49	272	102	170
50	274	102	172
51	285	110	175
52	284	109	175
53	274	101	173
54	273	104	169
55	277	112	165
56	274	111	163
57	273	106	167
58	273	98	175
59	276	97	179
60	281	96	185
61	287	99	188
62	292	103	189
63	290	99	191
64	286	103	183
65	274	99	175
66	277	99	178
67	272	99	173
68	265	99	166
69	276	102	174
70	283	102	181
71	275	98	177
72	280	110	170
73	282	110	172
74	279	113	166
75	293	118	175
76	290	118	172
77	288	115	173
78	299	122	177
79	294	118	176
80	281	109	172
81	281	110	171
82	283	113	170
83	278	116	162
84	282	112	170
85	292	113	179
86	288	117	171
87	290	119	171
88	280	116	164
89	282	113	169
90	280	113	167
91	292	124	168
92	284	125	159
93	281	114	167
94	289	118	171
95	286	110	176
96	287	112	175
97	285	114	171
98	279	111	168
99	273	106	167
100	283	109	174
101	282	110	172
102	288	113	175
103	290	116	174
104	289	116	173
105	286	111	175
106	281	107	174
107	275	105	170
108	281	104	177
109	278	105	173
110	287	108	179
111	281	108	173
112	270	110	160
113	272	104	168
114	283	107	176
115	274	102	172
116	272	108	164
117	283	114	169
118	289	107	182
119	294	117	177
120	292	116	176
121	282	112	170
122	272	112	160
123	284	119	165
